"2019/02/15 Statistics of Order Book & Trade per 5 Seconds"
"Time","Acc. Bid Orders","Acc. Bid Volume","Acc. Ask Orders","Acc. Ask Volume","Acc. Transaction","Acc. Trade Volume","Acc. Trade Value (NT$M)",
="09:00:00","197,267","3,646,951","177,784","1,069,239","0","0","0",
="09:00:05","199,427","3,671,900","179,516","1,073,185","9,576","36,440","1,769",
="09:00:10","202,235","3,927,461","181,794","1,309,236","14,374","50,301","2,349",
="09:00:15","204,562","4,006,327","183,521","1,378,463","17,186","57,487","2,722",
="09:00:20","207,012","4,031,825","185,448","1,397,756","19,108","63,594","2,960",
="09:00:25","208,587","4,050,510","186,642","1,410,491","20,411","66,632","3,108",
="09:00:30","210,414","4,058,293","188,024","1,420,384","21,941","70,620","3,249",
="09:00:35","212,242","4,076,828","189,483","1,438,469","23,081","73,700","3,374",
="09:00:40","213,875","4,083,897","190,724","1,444,994","24,064","76,430","3,503",
="09:00:45","216,323","4,176,735","192,534","1,522,434","24,913","78,873","3,625",
="09:00:50","218,326","4,215,157","194,017","1,538,459","25,741","81,317","3,742",
="09:00:55","222,648","4,402,952","197,573","1,676,086","26,547","83,855","3,847",
="09:01:00","226,498","4,535,430","200,680","1,776,930","27,450","86,909","3,950",
="09:01:05","229,713","4,605,599","203,208","1,828,546","28,450","90,618","4,062",
="09:01:10","233,447","4,726,062","206,517","1,922,140","29,367","93,940","4,167",
="09:01:15","236,330","4,867,323","209,177","2,011,616","30,171","96,983","4,265",
="09:01:20","238,926","4,902,222","211,410","2,028,146","30,942","100,376","4,373",
="09:01:25","242,015","5,117,556","213,933","2,174,498","31,874","105,247","4,490",
="09:01:30","244,441","5,185,047","215,887","2,199,768","32,736","108,267","4,594",
="09:01:35","247,363","5,436,937","218,483","2,323,616","33,557","111,128","4,706",
="09:01:40","250,616","5,679,139","221,456","2,439,961","34,329","114,341","4,789",
="09:01:45","253,592","5,775,793","224,096","2,481,147","35,166","117,497","4,886",
="09:01:50","255,816","5,778,775","226,303","2,472,206","36,073","121,666","4,992",
="09:01:55","258,970","5,808,660","229,118","2,464,082","36,995","125,823","5,099",
="09:02:00","262,487","5,844,201","231,827","2,472,270","37,787","128,743","5,183",
="09:02:05","266,902","6,126,745","235,841","2,630,285","38,664","133,454","5,281",
="09:02:10","270,745","6,219,985","239,120","2,676,196","39,698","137,863","5,412",
="09:02:15","274,415","6,270,321","242,097","2,678,443","40,995","142,933","5,557",
="09:02:20","277,830","6,352,253","245,324","2,721,929","41,826","146,838","5,654",
="09:02:25","282,436","6,511,174","249,003","2,754,608","42,782","152,242","5,815",
="09:02:30","286,540","6,591,224","252,618","2,797,517","43,648","156,538","5,901",
="09:02:35","290,303","6,821,256","256,256","2,919,129","44,443","160,265","6,001",
="09:02:40","292,924","6,841,961","258,782","2,930,831","45,288","163,528","6,090",
="09:02:45","296,539","6,936,001","261,737","3,003,433","46,028","167,476","6,175",
="09:02:50","300,029","6,975,025","265,112","3,034,458","46,896","171,969","6,260",
="09:02:55","303,951","7,314,450","269,013","3,325,016","47,848","176,345","6,354",
="09:03:00","307,908","7,570,768","272,793","3,518,417","48,673","180,119","6,434",
="09:03:05","314,012","8,052,252","278,452","3,875,991","49,495","184,362","6,508",
="09:03:10","318,427","8,272,709","282,631","3,973,172","50,356","190,391","6,580",
="09:03:15","321,753","8,454,165","286,005","4,046,023","51,087","194,849","6,641",
="09:03:20","325,233","8,568,566","289,391","4,103,009","52,031","200,748","6,723",
="09:03:25","328,669","8,780,434","293,098","4,226,800","52,879","205,661","6,799",
="09:03:30","332,581","8,927,491","297,116","4,284,376","53,787","211,287","6,889",
="09:03:35","337,328","9,076,389","302,017","4,379,049","54,711","218,038","6,971",
="09:03:40","342,153","9,308,529","306,799","4,534,473","55,702","223,978","7,060",
="09:03:45","345,458","9,348,963","310,438","4,566,818","56,470","228,251","7,121",
="09:03:50","348,831","9,387,227","313,985","4,598,615","57,262","232,107","7,182",
="09:03:55","353,022","9,382,749","318,457","4,583,426","58,260","239,384","7,261",
="09:04:00","356,803","9,334,075","322,602","4,575,165","59,122","246,490","7,333",
="09:04:05","361,272","9,533,399","326,879","4,678,913","59,959","251,633","7,396",
="09:04:10","364,090","9,574,773","329,886","4,699,696","60,742","256,991","7,462",
="09:04:15","367,491","9,615,293","333,606","4,717,792","61,618","264,024","7,551",
="09:04:20","370,553","9,657,533","337,134","4,724,685","62,368","267,766","7,628",
="09:04:25","374,368","9,703,969","340,946","4,747,614","63,124","271,211","7,696",
="09:04:30","377,594","9,743,118","344,258","4,745,303","63,925","275,547","7,773",
="09:04:35","381,997","10,069,112","348,592","4,809,006","64,621","279,778","7,883",
="09:04:40","384,953","10,162,183","351,743","4,843,060","65,486","285,335","7,951",
="09:04:45","388,589","10,412,879","355,356","4,961,556","66,331","291,213","8,019",
="09:04:50","391,935","10,627,918","358,735","5,049,006","67,267","297,677","8,102",
="09:04:55","395,034","10,685,191","362,173","5,081,355","67,998","302,267","8,167",
="09:05:00","398,314","10,799,017","365,535","5,141,359","68,708","306,587","8,242",
="09:05:05","402,760","11,016,696","369,810","5,242,346","69,546","313,527","8,315",
="09:05:10","406,315","11,132,247","373,577","5,274,047","70,311","317,416","8,389",
="09:05:15","409,377","11,225,240","377,176","5,281,137","71,029","321,240","8,462",
="09:05:20","412,223","11,299,380","380,192","5,302,088","71,745","326,305","8,516",
="09:05:25","415,347","11,381,163","383,724","5,312,149","72,507","330,909","8,579",
="09:05:30","418,700","11,430,553","386,937","5,294,812","73,330","336,955","8,643",
="09:05:35","422,644","11,512,903","391,272","5,286,978","74,116","342,547","8,704",
="09:05:40","426,218","11,577,544","395,030","5,296,132","74,970","348,932","8,769",
="09:05:45","429,528","11,645,575","398,310","5,315,120","75,862","355,590","8,846",
="09:05:50","433,436","12,067,406","401,939","5,441,805","76,571","361,047","8,902",
="09:05:55","437,138","12,210,215","405,805","5,524,102","77,459","367,816","8,981",
="09:06:00","441,085","12,271,057","409,955","5,523,675","78,213","373,090","9,036",
="09:06:05","444,983","12,440,644","413,840","5,586,621","79,091","379,039","9,111",
="09:06:10","447,894","12,515,430","417,048","5,604,259","79,801","382,544","9,171",
="09:06:15","451,103","12,601,885","420,130","5,612,201","80,525","386,882","9,245",
="09:06:20","454,172","12,696,050","423,519","5,632,792","81,238","389,894","9,312",
